     alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   5.807   0.9808   0.00974   0.00405  -0.0827   0.0240   0.6926
   6.975   1.1007   0.01074   0.00504  -0.0818   0.0159   0.7148
   8.458   1.2418   0.01234   0.00668  -0.0787   0.0106   0.7466
   9.889   1.3556   0.01417   0.00865  -0.0720   0.0097   0.7854
  11.230   1.4442   0.01701   0.01170  -0.0644   0.0088   0.8304
  12.177   1.5056   0.01936   0.01423  -0.0598   0.0085   0.8697
  13.715   1.5893   0.02434   0.01961  -0.0518   0.0077   1.0000
  15.470   1.6609   0.03352   0.02909  -0.0441   0.0071   1.0000
